Section,Part,Type,Arabic,English
Unit 5 Section 1,Subsentences (جملة صغری),grammar,خَبَر ج أَخْبَار,news
Unit 5 Section 1,Subsentences (جملة صغری),grammar,خَزِيَيَخْزَیخِزْيًا,to be disgraced
Unit 5 Section 1,Subsentences (جملة صغری),grammar,اِجْتَنَبَيَجْتَنِبُاجْتِنَابًا,to abstain
Unit 5 Section 1,Subsentences (جملة صغری),grammar,دَرَسَيَدْرُسُدَرْسًا,to study
Unit 5 Section 1,Subsentences (جملة صغری),grammar,اِحْتَرَقيَحْتَرِقُاِحْتِرَاقًا,to burn
Unit 5 Section 1,Subsentences (جملة صغری),grammar,دَفَنَيَدْفِنُدَفْنًا,to bury
Unit 5 Section 1,Subsentences (جملة صغری),grammar,أَخْرَجَيُخْرِجُإِخْرَاجًا,to take out
Unit 5 Section 1,Subsentences (جملة صغری),grammar,اِسْتَرَاحًيَسْتَرِيْحُاسْتِرَاحَة,to rest
Unit 5 Section 1,Subsentences (جملة صغری),grammar,اِسْتَعَاذَيَسْتَعِیْذُاِسْتِعَاذَة,to seek refuge
Unit 5 Section 1,Subsentences (جملة صغری),grammar,سَالَيَسِیْلُسَیََّلَنًا,to flow
Unit 5 Section 1,Subsentences (جملة صغری),grammar,اِسْتَقْبَلًيَسْتَقْبِلُاِسْتِقْبَاْل,"to face, turn towards"
Unit 5 Section 1,Subsentences (جملة صغری),grammar,شَاءَيَشَاءُمَشِیْئَة,"to wish, desire"
Unit 5 Section 1,Subsentences (جملة صغری),grammar,اِسْتَكْبَريَسْتَكْبِرُاِسْتِكْبَارًا,to act proudly
Unit 5 Section 1,Subsentences (جملة صغری),grammar,طَالَعَيُطَالِعُمُطَالَعَة,"to read, study"
Unit 5 Section 1,Subsentences (جملة صغری),grammar,اِسْتَمَعَيَسْتَمِعُاسْتِمَاعًا,to listen
Unit 5 Section 1,Subsentences (جملة صغری),grammar,أَكَّدَيُؤَكِّدتَأْكِیْدًا ، تَوْكِیْدًا,to emphasise
Unit 5 Section 1,Subsentences (جملة صغری),grammar,عَاشَيَعِیْشُعَیْشًا,to live
Unit 5 Section 1,Subsentences (جملة صغری),grammar,عَطَسَيَعْطِـُسُعُطَاسًا,to sneeze
Unit 5 Section 1,Subsentences (جملة صغری),grammar,أَنْجَیيُنْجِيْإِنْجَاء,to save
Unit 5 Section 1,Subsentences (جملة صغری),grammar,عَقَّيَعُقُّعُقُوْقًا,to disobey (parents)
Unit 5 Section 1,Subsentences (جملة صغری),grammar,(to parents) بَرَّيَبَرُّبِرًّا,to be dutiful/obedient
Unit 5 Section 1,Subsentences (جملة صغری),grammar,تَابَيَتُوْبُتَوْبَة,to repent
Unit 5 Section 1,Subsentences (جملة صغری),grammar,تَزَوَّجَيَتَزَوَّجُتَزَوَّجًا,to get married
Unit 5 Section 1,Subsentences (جملة صغری),grammar,تَكَلَّمَيَتَكَلَّمُتَكَلُّمًا,to speak
Unit 5 Section 1,Subsentences (جملة صغری),grammar,نَفَیيَنْفِيْنَفْیًا,to negate
Unit 5 Section 1,Subsentences (جملة صغری),grammar,وَفَّقَيُوَفِّقُتَوْفِیْقًا,to grant ability
Unit 5 Section 2,Relative Pronouns (اسم موصول),grammar,اِسْم مَوْصُوْل,relative pronoun
Unit 5 Section 2,Relative Pronouns (اسم موصول),grammar,حَرْف مَوْصُوْل,relative pronoun
Unit 5 Section 3,Nouns (أسماء),vocab,لِسَان ج أَلْسِنَة,tongue
Unit 5 Section 3,Nouns (أسماء),vocab,رُوْح ج أَرْوَاح,soul
Unit 5 Section 3,Nouns (أسماء),vocab,لُغَة ج ات,language
Unit 5 Section 3,Nouns (أسماء),vocab,سَرِيْع ج سِرَاع ، سُرْعَان,swift
Unit 5 Section 3,Nouns (أسماء),vocab,لَهْو,futile activity
Unit 5 Section 3,Nouns (أسماء),vocab,شَفَة ج شِفَاه,lip
Unit 5 Section 3,Nouns (أسماء),vocab,مَسْأَلَة ج ُمَسَائِل,ruling
Unit 5 Section 3,Nouns (أسماء),vocab,عَاشُوُرَاء,Ashura (10th Muharram)
Unit 5 Section 3,Nouns (أسماء),vocab,مَعْصِیَة ج مَعَاص,disobedience
Unit 5 Section 3,Nouns (أسماء),vocab,عِقَاب,punishment
Unit 5 Section 3,Nouns (أسماء),vocab,مَعْلُوْم,known
Unit 5 Section 3,Nouns (أسماء),vocab,عَقْل ج عُقُوْل,intellect
Unit 5 Section 3,Nouns (أسماء),vocab,مَنْسَك ج مَنَاسِك,ritual
Unit 5 Section 3,Nouns (أسماء),vocab,عََّلَمَة ج ات,sign
Unit 5 Section 3,Verbs (أفعال),vocab,حَلَّيَحِلُّحََّلَْل,to be permissible
Unit 5 Section 3,Verbs (أفعال),vocab,أَدَّیيُؤَدِّيْتَأْدِيَةً ، أَدَاء,"to fulfil, complete"
Unit 5 Section 3,Verbs (أفعال),vocab,دَرَیيَدْرِيْدِرَايَة,to know
Unit 5 Section 3,Verbs (أفعال),vocab,أَذْنَبَيُذْنِبإِذْنَابًا,to sin
Unit 5 Section 3,Verbs (أفعال),vocab,دَفَعَيَدْفَعُدَفْعًا,"to push, repel"
Unit 5 Section 3,Verbs (أفعال),vocab,أَرَادَيُرِيْدُإِرَادَة,to intend
Unit 5 Section 3,Verbs (أفعال),vocab,رَبَّیًيُرَبِّيْتَرْبِیَة,"to raise, rear, nurture"
Unit 5 Section 3,Verbs (أفعال),vocab,اِسْتَحْیَیًيسْتَحْیِيْاسْتِحْیَاء,to be ashamed
Unit 5 Section 3,Verbs (أفعال),vocab,زَارَيَزُوْرُزِيَارَة,to visit
Unit 5 Section 3,Verbs (أفعال),vocab,اِسْتَشَارًيَسْتَشِیْرُاِسْتِشَارَة,to seek advice or counsel
Unit 5 Section 3,Verbs (أفعال),vocab,سَرَّيَسُرُّسُرُوْرًا ، مَسَرَّة,to make happy
Unit 5 Section 3,Verbs (أفعال),vocab,اِسْتَطَاعًيَسْتَطِیْعُاِسْتِطَاعَة,to be able to
Unit 5 Section 3,Verbs (أفعال),vocab,سَكَنَيَسْكُنُسُكُوْنًا,"to rest, reside"
Unit 5 Section 3,Verbs (أفعال),vocab,أَشْهَديُشْهِدُإِشْهَادًا,to make witness
Unit 5 Section 3,Verbs (أفعال),vocab,شَرَحَيَشْرَحُشَرْحًا,to explain
Unit 5 Section 3,Verbs (أفعال),vocab,اِعْتَرَفَيَعْتَرِفُاِعْتِرَافًا,to acknowledge
Unit 5 Section 3,Verbs (أفعال),vocab,شَهِدَيَشْهَدُشَهَادَة,"to testify, witness"
Unit 5 Section 3,Verbs (أفعال),vocab,ظَهَرَيَظْهَرُظُهُوْرًا,to become apparent
Unit 5 Section 3,Verbs (أفعال),vocab,أَعْجَبَيُعْجِبُإِعْجَابًا,"to please, delight"
Unit 5 Section 3,Verbs (أفعال),vocab,عَقَلَيَعْقِلًعَقَّل,to understand
Unit 5 Section 3,Verbs (أفعال),vocab,أَغْضَبَيُغْضِبُإِغْضَابًا,to make angry
Unit 5 Section 3,Verbs (أفعال),vocab,قَدَرَيَقْدِرُقُدْرَة,to be able to
Unit 5 Section 3,Verbs (أفعال),vocab,أَمْكَنَيُمْكِنإِمْكَانًا,to be possible
Unit 5 Section 3,Verbs (أفعال),vocab,كَرِهَيَكْرَهُكَرَاهَة,to dislike
Unit 5 Section 3,Verbs (أفعال),vocab,اِنْبَغَیيَنْبَغِيْانْبِغَاء,"to be suitable, appropriate, necessary"
Unit 5 Section 3,Verbs (أفعال),vocab,لَقِيَيَلْقَیلِقَاء,to meet
Unit 5 Section 3,Verbs (أفعال),vocab,انْتَهَیيَنْتَهِيْانْتِهَاء,"to finish, complete"
Unit 5 Section 3,Verbs (أفعال),vocab,نَدِمَيَنْدَمُنَدَامَةً ، نَدَمًا,to regret
Unit 5 Section 3,Verbs (أفعال),vocab,تَعِبَيَتْعَبُتَعَبًا,to be tired
Unit 5 Section 3,Verbs (أفعال),vocab,نَهَیيَنْهَینَهْیًا,to prohibit
Unit 5 Section 3,Verbs (أفعال),vocab,تَمَنَّیيَتَمَنَّیتَمَنِّیًا,to desire
Unit 5 Section 3,Verbs (أفعال),vocab,وَجَبَيَجِبُوُجُوْبًا,to be compulsory
Unit 5 Section 3,Verbs (أفعال),vocab,جَرَیيَجْرِي ج َريَانًا,to flow
Unit 6,Part 1: Vocative Expressions,grammar,جَوَابُالنِّدَاء,Sentence After Vocative Sentence
Unit 6,Part 1: Vocative Expressions,grammar,حَرْفُالنِّدَاء,Particle of Vocation
Unit 6,Part 2: Oaths,grammar,قَسَم,Oath
Unit 6,Joining Sentences,grammar,جُمْلَة تَعْلِیْلِیَّة,Sentence that shows reason
Unit 6,Part 2: Oaths,grammar,جَوَابُالْقَسَم,Sentence After Oath
Unit 6,Joining Sentences,grammar,جُمْلَةاسْتِدْرَاكِیَّة,Sentence that removes a presumption
Unit 6,Part 3: Conditional Sentences,grammar,أَدَاةُالشَّرْط,Conditional Conjunction
Unit 6,Part 3: Conditional Sentences,grammar,شَرْط,Condition Clause
Unit 6,Part 3: Conditional Sentences,grammar,جَوَابِالشَّرْط,Result Clause
Unit 6,Joining Sentences,grammar,however أَنَّی,"from wherever,"
Unit 6,Joining Sentences,grammar,كَم,however many
Unit 6,Joining Sentences,grammar,أَيْن,wherever
Unit 6,Joining Sentences,grammar,أَي,whichever
Unit 6,Joining Sentences,grammar,أَيَّان,whenever
Unit 6,Joining Sentences,grammar,لَو,if
Unit 6,Joining Sentences,grammar,عَصْر ج عُصُوْر,time
Unit 6,Joining Sentences,grammar,جِسْم ج أَجْسَام,body
Unit 6,Joining Sentences,grammar,سَلِمَيَسْلَمُسََّلَمَة,to be safe
Unit 6,Joining Sentences,grammar,اِتَّقَیيَتَّقِياِتِّقَاء,to fear
Unit 6,Joining Sentences,grammar,عَاشَيَعِیْشُعَیْشًا,to live
Unit 6,Joining Sentences,grammar,عَامَلَيُعَامِلُمُعَامَلَة,to deal
Unit 6,Joining Sentences,grammar,عَصَمَيَعْصِمُعِصْمَة,to protect
Unit 6,Joining Sentences,grammar,أَرْضَیيُرْضِيْإِرْضَاء,to please
Unit 6,Joining Sentences,grammar,مَدَحَيَمْدَحُمَدْحًا,to praise
Unit 6,Joining Sentences,grammar,بَارَكَيُبَارِكُمُبَارَكَة,to bless
Unit 6,Joining Sentences,grammar,وَعَظَيَعِظُوَعْظًا,to advice
Unit 6,Joining Sentences,grammar,حَزَنَيَحْزُنُحُزْنًا,to make sad
